experiment	commit	metric	status	description
smoke_timeout	ad7afd744d087db73c75742c11fa26dba004a012	-1.000000	error	real smoke timeout: checkpoint audit timed out after 5 seconds
smoke_train_only	ad7afd744d087db73c75742c11fa26dba004a012		trained_pending_audit	real train only smoke
trial	ad7afd744d087db73c75742c11fa26dba004a012	-1.000000	audit_error	unplug_charger_transformer_fm_obs3_dit_v1_retrain_noamp_v1__smoke_train_only__e0001__20260407_233423: checkpoint audit timed out after 5 seconds
smoke_h3	ad7afd744d087db73c75742c11fa26dba004a012		trained_pending_audit	cross attn smoke
baseline_100	d4d7100e7c80c165a3aa2d1ca8073cd7a2768246		trained_pending_audit	baseline 100 epoch screen
trial	d4d7100e7c80c165a3aa2d1ca8073cd7a2768246	-1.000000	collapsed	unplug_charger_transformer_fm_obs3_dit_v1_retrain_noamp_v1__baseline_100__e0100__20260408_002048
baseline_500	e84b13c5424bee841e3e599ea58546d84603b24a		trained_pending_audit	baseline 500 epoch mainline
baseline_500	e84b13c5424bee841e3e599ea58546d84603b24a	-1.000000	audit_error	baseline 500 epoch mainline: checkpoint audit timed out after 1800 seconds
h1_stats_aug_100	c6c9acf3473cc593adc084ac78f4d57717a6ae51		trained_pending_audit	h1 data stats + augmentation
h1_stats_aug_100	c6c9acf3473cc593adc084ac78f4d57717a6ae51	0.550000	measured	h1 data stats + augmentation
h2_dit_dynamics_100	c6c9acf3473cc593adc084ac78f4d57717a6ae51		trained_pending_audit	h2 DiT dynamics: dropout0 + final zero init
h2_dit_dynamics_100	c6c9acf3473cc593adc084ac78f4d57717a6ae51	0.650000	measured	h2 DiT dynamics: dropout0 + final zero init
h1_fixed_stats_aug_100	c6c9acf3473cc593adc084ac78f4d57717a6ae51		trained_pending_audit	h1 retry with fixed SE3 augmentation semantics
h1_fixed_stats_aug_100	c6c9acf3473cc593adc084ac78f4d57717a6ae51	-1.000000	collapsed	h1 retry with fixed SE3 augmentation semantics
smoke_modular_dummy	c6c9acf3473cc593adc084ac78f4d57717a6ae51	-1.000000	train_error	unplug_charger_transformer_fm_obs3_dit_v1_retrain_noamp_v1__smoke_modular_dummy__e0001__20260409_manual: mat1 and mat2 shapes cannot be multiplied (12x256 and 266x512)
smoke_modular_dummy	c6c9acf3473cc593adc084ac78f4d57717a6ae51		trained_pending_audit	unplug_charger_transformer_fm_obs3_dit_v1_retrain_noamp_v1__smoke_modular_dummy__e0001__20260409_manual
dummy_smoke_root_layout	5a54f0f0b8b4ee80a8f764383bc3dbe93dada190		trained_pending_audit	dummy_smoke_root_layout
mdit_env_smoke_1ep	6ef36981264ddb4a76e1a2ef1ca39498d68a5e9d		trained_pending_audit	unplug_charger_mdit_faithful_v1__mdit_env_smoke_1ep__e0001__20260409_171325
mdit_faithful_baseline_100	70fff9ce45800aace3d1eb2f46b153eb5a3fb083		trained_pending_audit	mdit_faithful_baseline_100
mdit_trial	5f7cce35af41f19de3dee99b4b5c665259f2647f	-1.000000	collapse	unplug_charger_mdit_faithful_v1__mdit_faithful_baseline_100__e0100__20260409_183119
cam_front_wrist_100	5f7cce35af41f19de3dee99b4b5c665259f2647f		trained_pending_audit	2-camera subset front+wrist
cam_front_wrist_100	5f7cce35af41f19de3dee99b4b5c665259f2647f	-1.000000	collapse	2-camera subset front+wrist
cam_all5_100	5f7cce35af41f19de3dee99b4b5c665259f2647f		trained_pending_audit	all available cameras
cam_all5_100	5f7cce35af41f19de3dee99b4b5c665259f2647f	-1.000000	collapse	all available cameras
obs3_100	e0ba02860b5604a6c5fc8510020b5b0911b77db4	-1.000000	train_error	increase observation steps to 3: [enforce fail at inline_container.cc:424] . unexpected pos 680599488 vs 680599376
obs3_amp_smoke_1ep_cachefix	5bea2cb6ec31b403bd2b9214414665b0d63f387d	-1.000000	train_error	offline cache smoke: CUDA error: no kernel image is available for execution on the device CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect. For debugging consider passing CUDA_LAUNCH_BLOCKING=1. Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions. 
obs3_amp_smoke_1ep_cachefix	2cb8e08cd8ab7188d71060732bbe1dab6368b68d		trained_pending_audit	offline cache smoke on 5090
obs3_rgb5_flowmatch_pditfirst_smoke	ff525f3d056fc2a4e48c667758535f420e052093	-1.000000	train_error	5RGB obs3 flow-matching mdit smoke aligned to pdit first-action semantics: CUDA out of memory. Tried to allocate 416.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 48.88 MiB is free. Including non-PyTorch memory, this process has 23.23 GiB memory in use. Of the allocated memory 21.59 GiB is allocated by PyTorch, and 1.06 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
obs3_rgb5_flowmatch_pditfirst_500	ff525f3d056fc2a4e48c667758535f420e052093	-1.000000	train_error	5RGB obs3 flow-matching mdit aligned to pdit first-action semantics: CUDA out of memory. Tried to allocate 416.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 76.38 MiB is free. Including non-PyTorch memory, this process has 23.23 GiB memory in use. Of the allocated memory 21.59 GiB is allocated by PyTorch, and 1.06 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
obs3_rgb5_flowmatch_pditfirst_500	ff525f3d056fc2a4e48c667758535f420e052093	-1.000000	train_error	5RGB obs3 flow-matching mdit aligned to pdit first-action semantics: CUDA out of memory. Tried to allocate 1.49 GiB. GPU 0 has a total capacity of 23.40 GiB of which 342.38 MiB is free. Including non-PyTorch memory, this process has 22.97 GiB memory in use. Of the allocated memory 21.41 GiB is allocated by PyTorch, and 996.72 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
obs3_rgb5_flowmatch_pditfirst_500	ff525f3d056fc2a4e48c667758535f420e052093	-1.000000	train_error	5RGB obs3 flow-matching mdit aligned to pdit first-action semantics: CUDA out of memory. Tried to allocate 1.08 GiB. GPU 0 has a total capacity of 23.40 GiB of which 1.09 GiB is free. Including non-PyTorch memory, this process has 22.22 GiB memory in use. Of the allocated memory 20.92 GiB is allocated by PyTorch, and 733.00 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
obs3_rgb5_flowmatch_pditfirst_500	ff525f3d056fc2a4e48c667758535f420e052093	-1.000000	train_error	5RGB obs3 flow-matching mdit aligned to pdit first-action semantics: CUDA out of memory. Tried to allocate 140.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 132.62 MiB is free. Including non-PyTorch memory, this process has 23.18 GiB memory in use. Of the allocated memory 22.18 GiB is allocated by PyTorch, and 430.81 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
obs3_rgb5_flowmatch_pditfirst_500	ff525f3d056fc2a4e48c667758535f420e052093	-1.000000	train_error	5RGB obs3 flow-matching mdit aligned to pdit first-action semantics: CUDA out of memory. Tried to allocate 140.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 132.62 MiB is free. Including non-PyTorch memory, this process has 23.18 GiB memory in use. Of the allocated memory 22.18 GiB is allocated by PyTorch, and 430.81 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
vram_probe_bs24	105a0507cb24b56fd0dbe62961dfc84ad8b41c35	-1.000000	train_error	VRAM probe for batch_size=24: CUDA out of memory. Tried to allocate 42.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 36.62 MiB is free. Including non-PyTorch memory, this process has 23.28 GiB memory in use. Of the allocated memory 22.06 GiB is allocated by PyTorch, and 643.78 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
vram_probe_bs20	105a0507cb24b56fd0dbe62961dfc84ad8b41c35	-1.000000	train_error	VRAM probe for batch_size=20: CUDA out of memory. Tried to allocate 18.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 24.62 MiB is free. Including non-PyTorch memory, this process has 23.29 GiB memory in use. Of the allocated memory 22.16 GiB is allocated by PyTorch, and 560.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
vram_probe_bs16	105a0507cb24b56fd0dbe62961dfc84ad8b41c35	-1.000000	train_error	VRAM probe for batch_size=16: CUDA out of memory. Tried to allocate 80.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 16.62 MiB is free. Including non-PyTorch memory, this process has 23.30 GiB memory in use. Of the allocated memory 22.30 GiB is allocated by PyTorch, and 416.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
vram_probe_bs12	105a0507cb24b56fd0dbe62961dfc84ad8b41c35	-1.000000	train_error	VRAM probe for batch_size=12: CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 18.62 MiB is free. Including non-PyTorch memory, this process has 23.29 GiB memory in use. Of the allocated memory 21.36 GiB is allocated by PyTorch, and 1.33 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
vram_probe_bs8	105a0507cb24b56fd0dbe62961dfc84ad8b41c35		trained_pending_audit	VRAM probe for batch_size=8
rgb5_sep_lastblock_a8_lr1p5e5_100	105a0507cb24b56fd0dbe62961dfc84ad8b41c35	-1.000000	train_error	Branch 2: batch_size=8, lr=1.5e-5: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 8.00 MiB is free. Process 896916 has 16.21 GiB memory in use. Including non-PyTorch memory, this process has 3.58 GiB memory in use. Process 897159 has 3.50 GiB memory in use. Of the allocated memory 2.89 GiB is allocated by PyTorch, and 211.46 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
